#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME777796;The Úlfhéðnar;L'Úlfhéðnar;The Úlfhéðnar;;The Úlfhéðnar;;;;;;;;;x
EVTOPTB7777806;On second thought, lets leave them be.;A la réfléxion, laissez les en paix. ;Nach reiflicher Überlegung, lässt sie gewähren.;;On second thought, lets leave them be.;;;;;;;;;x
EVTNAME7777807;Arrest of the Templars;Arrestations des Templiers;Sperrt die Templer ein;;Arrest of the Templars;;;;;;;;;x
EVTDESC7777807;The Emperor of the Holy Roman Empire has arrested the Templars within his domain. The holy order is charged with heresy, blasphemy, and a litany of other crimes against God.;L'Empereur du Saint Empire Romain a arrêté les Templiers de ses Etats. L'Ordre est accusé d'hérésie, de blasphèmes, and de bien d'autres crimes envers Dieu.  ;Der Kaiser Heiligen Römischen Reiches hat die Templer innerhalb seines Gebiets eingekerkert. Der heilige Orden wird wegen der Ketzerei, Gotteslästerung, und einer Litanei anderer Verbrechen gegen  Gott angeklagt.;;;;;;;;;x;;
EVTOPTA7777807;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777808;Arrest the Templars;Faire arrêter les Templiers;Sperrt die Templer ein;;Arrest the Templars;;;;;;;;;x
EVTDESC7777808;The Templars control substantial land and wealth within our borders. Charges of blasphemy and heresy have been leveled at them from a former member. This could be our opportunity to break their power in Italy and seize their wealth for ourselves!;Les Templiers, redevables envers le seul Pape, contrôlent de nombreux biens et terres sur notre territoire. Des accusations de blasphèmes et d'hérésie ont été proférées par un ancien membre de l'Ordre. Ce pourrait être une opportunité pour briser leur puissance en Italie et s'approprier leurs biens!;Die Templer, verpflichtet nur dem Papst selbst, kontrollieren wesentliches Land und Reichtum innerhalb unserer Grenzen. Anklagen der Gotteslästerung und Ketzerei sind an Sie von einem ehemaligen Verbündeten vorgebracht worden. Das konnte unsere Gelegenheit sein, ihre Macht in Frankreich zu brechen und ihren Reichtum für uns selbst zu greifen!;;;;;;;;;x;;
EVTOPTA7777808;Send out the arrest warrants.;Envoyer les ordres d'arrestation. ;Send out the arrest warrants.;;Send out the arrest warrants.;;;;;;;;;x
EVTOPTB7777808;On second thought, lets leave them be.;A la réfléxion, laissez les en paix. ;On second thought, lets leave them be.;;On second thought, lets leave them be.;;;;;;;;;x
EVTNAME7777809;Arrest of the Templars;Arrestations des Templiers;Sperrt die Templer ein;;Arrest of the Templars;;;;;;;;;x
EVTDESC7777809;The Pope has arrested the Templars within his domain. The holy order is charged with heresy, blasphemy, and a litany of other crimes against God.;Le Pape a arrêté les Templiers de ses Etats. L'Ordre est accusé d'hérésie, de blasphèmes, and de bien d'autres crimes envers Dieu. ;Der Papst hat die Templer innerhalb seines Gebiets eingekerkert. Der heilige Orden wird wegen der Ketzerei, Gotteslästerung, und einer Litanei anderer Verbrechen gegen  Gott angeklagt.;;;;;;;;;x;;
EVTOPTA7777809;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777810;Raiding Party;Incursion;Beutezug;;Raiding Party;;;;;;;;;x
EVTDESC7777810;Let us lead a raiding party against our heathen neighbors!;Laissez nous conduire une incursion contre nos voisins païens! ;Lassen Sie uns einen Beutezug gegen unsere Heide-Nachbarn führen!;;;;;;;;;x;;
EVTOPTA7777810;I will lead it personally.;Je vais la diriger personnellement.;Ich werde es persönlich führen.;;I will lead it personally.;;;;;;;;;x
EVTOPTC7777810;Nevermind.;Peu importe.;Macht nichts.;;Nevermind.;;;;;;;;;x
raiding_party;Raiding Party;Incursion;Beutezug;;Raiding Party;;;;;;;;;x
raiding_party_desc;Organize a raid on a neighboring country for loot and slaves.;Organiser une incursion dans un pays voisin pour du butin et des esclaves.;Organisieren Sie einen Überfall auf einen Anliegerstaat für die Beute und Sklaven.;;Organize a raid on a neighboring country for loot and slaves.;;;;;;;;;x
raid;Begin plotting the raid.;Commencer à comploter l'incursion;Beginnen Sie damit, den Überfall zu planen.;;Begin plotting the raid.;;;;;;;;;x
d_german_band;German Band;Bande allemande;Deutscher Bund;;German Band;;;;;;;;;x
d_german_band_adj;German Band;Bande allemande;Deutscher Bund;;German Band;;;;;;;;;x
d_lithuanian_band;Lithuanian Band;Bande lithuanienne;Lithauischer Bund;;Lithuanian Band;;;;;;;;;x
d_lithuanian_band_adj;Lithuanian Band;Bande lithuanienne;Lithauischer Bund;;Lithuanian Band;;;;;;;;;x
d_black_sea_band;Black Sea Band;Bande de la Mer Noire;Schwarzmeer Bund;;Black Sea Band;;;;;;;;;x
d_black_sea_band_adj;Black Sea Band;Bande de la Mer Noire;Schwarzmeer Bund;;Black Sea Band;;;;;;;;;x
d_egyptian_band;Egyptian Band;Bande égyptienne;Ägyptischer Bund;;Egyptian Band;;;;;;;;;x
d_egyptian_band_adj;Egyptian Band;Bande égyptienne;Ägyptischer Bund;;Egyptian Band;;;;;;;;;x
d_arabic_band;Arabic Band;Bande arabe;Arabischer Bund;;Arabic Band;;;;;;;;;x
d_arabic_band_adj;Arabic Band;Bande arabe;Arabischer Bund;;Arabic Band;;;;;;;;;x
d_black_sea_merchant_convoy;Black Sea Merchant Convoy;Convoi marchand de la Mer Noire;Handelskonvoi des Schwarzen Meeres;;Black Sea Merchant Convoy;;;;;;;;;x
d_black_sea_merchant_convoy_adj;Black Sea Merchant Convoy;Convoi marchand de la Mer Noire;Handelskonvoi des Schwarzen Meeres;;Black Sea Merchant Convoy;;;;;;;;;x
d_eastern_merchant_convoy;Eastern Merchant Convoy;Convoi marchand oriental;Osthandelskonvoi;;Eastern Merchant Convoy;;;;;;;;;x
d_eastern_merchant_convoy_adj;Eastern Merchant Convoy;Convoi marchand oriental;Osthandelskonvoi;;Eastern Merchant Convoy;;;;;;;;;x
